ProbeID X Y Z hemi
10_317 137.540543 104.32653 100.187759 lh
10_318 137.099548 104.963531 99.984756 lh
10_319 136.796539 104.342529 100.497757 lh
10_320 136.38855 104.990532 100.278763 lh
10_321 135.87355 104.64753 100.737762 lh
10_322 135.76355 105.376534 100.336761 lh
10_323 148.347549 106.912529 99.391754 lh
10_324 134.841537 105.311531 100.878754 lh
10_325 135.305542 106.288536 100.036758 lh
10_326 134.52655 106.082535 100.605759 lh
10_327 149.081543 107.81353 99.429749 lh
10_328 134.882538 107.386536 99.664764 lh
10_329 133.997543 107.742531 100.040756 lh
10_330 149.91954 108.863533 99.522751 lh
10_331 134.495544 108.234535 99.454758 lh
10_332 133.854538 108.956535 99.530762 lh
10_333 133.887543 108.312531 99.829758 lh
10_334 133.282547 109.71553 99.657761 lh
10_335 132.752548 109.770523 100.235764 lh
10_336 150.895538 110.662529 99.845749 lh
10_337 132.971542 110.330528 99.699753 lh
10_338 132.566544 110.519524 100.161758 lh
10_339 151.104538 111.61853 100.30275 lh
10_340 151.351547 112.528534 100.088745 lh
10_341 132.889542 111.224525 99.436752 lh
10_342 132.442551 111.219528 100.120758 lh
10_343 151.54454 113.682533 99.610748 lh
10_344 151.250549 113.425529 100.697754 lh
10_345 133.021545 112.123528 98.998764 lh
10_346 151.455536 114.59053 100.450745 lh
10_347 132.978546 112.936523 98.883759 lh
10_348 151.243546 115.346535 100.975754 lh
10_349 150.868561 115.791534 101.574753 lh
10_350 133.042542 113.974525 98.746765 lh
10_351 151.358536 116.495529 100.753754 lh
10_352 150.824554 116.818535 101.661758 lh
10_353 133.187546 114.959534 98.704758 lh
10_354 133.402542 115.903534 98.829758 lh
10_355 151.183548 117.610535 101.013748 lh
10_356 150.698563 117.783531 101.75975 lh
10_357 133.966537 116.425529 98.106766 lh
10_358 134.372543 117.173531 98.180756 lh
10_359 151.027542 118.345535 101.14975 lh
10_360 150.623566 118.71653 101.682755 lh
10_361 135.062546 117.539536 97.67276 lh
10_362 135.520538 118.206535 97.960754 lh
10_363 150.923538 119.221535 100.878754 lh
10_364 150.413559 119.569534 101.643753 lh
10_365 137.183548 119.400536 98.336761 lh
10_366 136.127548 118.523529 97.803757 lh
10_367 136.639542 118.885536 97.915756 lh
10_368 150.454544 120.135536 101.090744 lh
10_369 143.075546 121.456535 100.299759 lh
10_370 141.915543 121.180534 100.049759 lh
10_371 140.915543 120.91153 99.788757 lh
10_372 139.869537 120.652534 99.533752 lh
10_373 138.886551 120.361534 99.259766 lh
10_374 138.017548 119.769531 98.490753 lh
10_375 138.18454 120.085533 99.001755 lh
10_376 148.40155 121.564529 100.572754 lh
10_377 147.162537 121.808533 100.671753 lh
